"","timepoints9","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"LYVE1",-0.21503154891369,-0.215263118078453,-0.241565155815105,-0.117767068787544,-0.282073969450453,-0.250299264180871
"LYZ",-0.245680128388605,-0.21153483535776,-0.258570943266972,-0.198517615107106,-0.16890805128655,-0.30817691708181
"MAB21L1",-0.27166816124066,-0.27166816124066,-0.239390090713574,-0.27166816124066,-0.27166816124066,-0.27166816124066
"MACC1",0.339561270575958,-0.0659285584069195,-0.0714142103023119,0.00521168486715299,-0.184945733699689,-0.184945733699689
"MAD2L1",-0.265261472048274,-0.0952314621027297,-0.0376602480441831,-0.301215402814195,-0.202063967105561,-0.178014819810732
"MADCAM1",-0.112582336674521,-0.112582336674521,-0.112582336674521,-0.112582336674521,-0.112582336674521,-0.112582336674521
"MAF",0.360280749890738,-0.459021966905617,-0.343703419337044,-0.278475050776463,-0.417124998858689,-0.424091241508785
"MAFB",-0.345552760242672,-0.425378644931219,-0.266183756450211,-0.242446749483974,-0.31495745673324,-0.425378644931219
"MAFF",-0.384975824598106,-0.0587683987725183,-0.326166730503043,0.0887798282614947,-0.169449781197242,-0.240436465449227
"MAGEA8",-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275,-0.0242314401036275
"MAP1B",1.14946503468077,1.28659764579062,1.00561808991021,0.762960821955973,0.831885583929144,1.02584286604915
"MAP3K19",-0.0826261167934249,-0.0826261167934249,0.365675005974565,0.633066583897983,-0.0826261167934249,-0.0826261167934249
"MAP7D2",1.15424846273788,0.0143147700848416,0.986077087080547,0.531839920906804,0.769036813624789,0.266601924867465
"MBNL3",-0.41031557751786,-0.317811692655127,0.145675555157017,-0.19495235058053,-0.299631591088141,-0.41031557751786
"MC2R",-0.0997021870298924,-0.0997021870298924,-0.0997021870298924,-0.0997021870298924,-0.0997021870298924,-0.0997021870298924
"MCAM",-0.403847533982862,0.115317102068162,0.0720969400177874,-0.00971781467089977,-0.199036841563283,-0.135736392835098
"MCEMP1",-0.0954139232510393,-0.0954139232510393,-0.0954139232510393,-0.0585699598106212,-0.0954139232510393,-0.0954139232510393
"MCFD2",-0.469580262137331,0.571644649282402,0.108438374273335,0.257620807616618,-0.117659792241762,0.599799199936924
"MEF2C",-0.214580327981794,-0.55768174091231,-0.197134202467766,-0.235546812048131,-0.380276165823802,-0.53234018878929
"MEG3",1.13960810887076,0.877907565296379,0.738887194437182,0.661926249380601,1.08744655169497,1.05981903791695
"MEI4",-0.0378516416740834,-0.0378516416740834,-0.0378516416740834,-0.0378516416740834,0.464040940409621,-0.0378516416740834
"MELK",-0.340947675265317,-0.260399305573123,-0.1551124715455,-0.138789439516149,-0.180847973782189,-0.340947675265317
"LINC02587",-0.0461294395272364,-0.0461294395272364,-0.0461294395272364,-0.0461294395272364,-0.0461294395272364,-0.0461294395272364
"MEPE",-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095,-0.0284925730864095
"MESP1",0.54780550293303,0.0817238291963897,0.206585903851038,0.12799513007317,0.356479970884005,1.94435337732279
"MESP2",-0.0388648026305008,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008,-0.0388648026305008
"METAP1D",-0.130933192165492,0.132065534115063,-0.070151643472061,-0.130933192165492,-0.107148045652018,0.149166458935884
"METRNL",-0.288230157137652,-0.265452050075975,-0.23094132580852,-0.18306274499359,-0.222106171075889,-0.288230157137652
"MFAP5",-0.0782292185496138,-0.0782292185496138,-0.0782292185496138,-0.0782292185496138,-0.0782292185496138,-0.0782292185496138
"MFGE8",-0.373866341735282,-0.064123911013698,-0.356956913646652,-0.310280865316061,-0.366694043966235,-0.326475164300914
"MGARP",-0.134623737752205,-0.134623737752205,0.101034981395379,-0.0899031135201728,-0.134623737752205,0.234284518439915
"MGAT4EP",-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716,-0.033258996529716
"MGP",-0.267549149426818,-0.410535031073885,-0.42160252517526,-0.343760081548483,-0.445010607201574,-0.433491243807946
"MGST1",-0.235933006834955,-0.235933006834955,-0.22271760055281,-0.149107731371814,-0.235933006834955,-0.166925736561448
"MIAT",1.3377346053657,2.00093134454208,1.30574330607407,0.608999722053334,1.0886428982574,1.1176197316181
"MICAL2",-0.144674964915459,-0.144674964915459,-0.136115215226306,-0.124394632100592,-0.105572542540418,-0.144674964915459
"S100A9",-0.331064157935931,-0.20537675561859,-0.251530743881016,-0.19624149805565,-0.0826953869293718,-0.229083212071727
"MIP",-0.0840750334812485,-0.0840750334812485,-0.0840750334812485,-0.0840750334812485,-0.0644260147277991,-0.0840750334812485
"MIS18BP1",-0.6191302514678,-0.618876876251236,-0.194634251135001,-0.361603789075804,-0.280106181900889,-0.405767744088923
"MITF",-0.324418204676188,-0.324418204676188,-0.106483547934607,-0.22233029157764,-0.197163870055662,0.0324368613641538
"MKI67",-0.176110704263487,-0.259225963131059,-0.232622426611762,-0.168260589297106,-0.227145895168819,-0.259225963131059
"MLLT11",2.165365482649,1.01376270199041,0.953081949382113,0.936718241794955,0.917998997947793,0.298348629227228
"MMP19",-0.0735336449933211,-0.0735336449933211,-0.0735336449933211,-0.0194016487914688,-0.0735336449933211,0.11947765801453
"MMP9",-0.152774212936752,-0.116775206672366,-0.0962801152014305,0.0204137755137253,-0.0102422143449183,0.173447721656622
"MMRN1",-0.112151635771546,-0.112151635771546,-0.112151635771546,-0.0756233754966147,-0.112151635771546,-0.112151635771546
"MND1",-0.241340770278113,-0.241340770278113,-0.241340770278113,-0.232806016188985,-0.156720241162799,-0.241340770278113
"MNDA",-0.273178196545241,-0.165601932323021,-0.181752206335579,-0.0907065282312001,-0.216102271953557,-0.273178196545241
"MNS1",-0.393239156063644,-0.0866583492395705,-0.0497241226448091,0.0705255402243486,0.199414418045399,0.778402139352061
"MNX1",-0.0247731177284336,-0.0247731177284336,-0.0247731177284336,-0.0247731177284336,-0.0247731177284336,-0.0247731177284336
"MPEG1",-0.268226773318248,-0.238970633004811,-0.249354294904433,-0.238090230307987,-0.268226773318248,-0.186396853351764
"MPO",-0.121716396979227,-0.121716396979227,-0.0662810818569668,-0.121716396979227,-0.121716396979227,-0.121716396979227
"MPPED1",-0.0614327066286892,-0.0614327066286892,-0.0614327066286892,-0.0614327066286892,-0.0614327066286892,-0.0614327066286892
