"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints11","timepoints13"
"CMYA5",0.0249594305334061,0.626792769052888,1.05294268858008,0.0461714734429262,1.04347279761047,0.951958047770879,0.0790385590819128,0.0136217612591092
"CNNM1",0.737620146860965,-0.0459789138893866,-0.142315014662921,-0.142315014662921,-0.142315014662921,-0.142315014662921,-0.142315014662921,-0.142315014662921
"CNRIP1",-0.101089087889656,0.96159110894175,0.88615397332398,-0.133704807777599,0.930779272784828,1.10333618395818,-0.118884971361468,1.47026699864791
"CNTN2",-0.106611815300481,-0.0856904148556533,-0.132556203893259,-0.132556203893259,-0.132556203893259,-0.132556203893259,-0.132556203893259,-0.132556203893259
"COL11A1",0.354160686369891,0.53078948751083,0.506416432082761,0.237379792621484,-0.0121741171885617,-0.347394774865009,0.084090780406831,0.530608965834457
"COL12A1",0.0169337343441228,-0.0148707569044061,0.712650214478294,-0.130062232620579,-0.221102015111318,0.30916457765071,-0.221102015111318,-0.221102015111318
"COL13A1",-0.275850667941898,-0.196663590932722,-0.207780514275809,-0.328192261854469,-0.400060329911275,-0.400060329911275,-0.384167253133538,-0.400060329911275
"COL14A1",-0.302231878728385,-0.270029605995561,-0.304850631045732,-0.308628682844669,-0.333901463357106,-0.333901463357106,0.193812195098164,0.381319959924293
"COL15A1",-0.180394015920177,-0.180355926036057,-0.130662781178279,-0.180376894761985,0.0655487699219302,-0.226350340341957,-0.226350340341957,-0.226350340341957
"COL19A1",-0.0617314793876543,-0.0863930744212058,-0.105326502605488,-0.105326502605488,0.267288509096803,-0.105326502605488,-0.105326502605488,-0.105326502605488
"COL1A1",-0.591469767443953,-0.617549449643221,-0.434860211206706,-0.3667078540112,-0.670740439776234,-0.281896110284222,-0.625551077265419,-0.396514881288129
"COL1A2",-0.28734532330088,-0.202818326264351,-0.0181405625030691,-0.440504671248619,-0.526232384384527,0.0531185659011552,-0.388326720958844,-0.522130413252299
"COL20A1",-0.00186467653256332,-0.0641728773447837,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158
"COL25A1",-0.11262397074096,-0.20129917947643,-0.153110005003324,-0.218035260319705,0.198336694687706,-0.218035260319705,0.1888377302546,-0.218035260319705
"COL28A1",-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658
"COL3A1",-0.555321215472072,-0.485189521771962,-0.509696976938082,-0.426015895975073,-0.599856795373007,-0.629717984791735,-0.663955494827631,-0.604566907719515
"COL4A1",-0.584881872561522,-0.464152776296981,-0.535325321860718,-0.377095657129398,-0.0108042128660735,-0.487751218165553,-0.252725003661788,-0.359171966280919
"COL5A2",-0.235347328307264,-0.122972888593746,-0.201548472322797,-0.313013335244258,-0.490902835327266,-0.490902835327266,-0.490902835327266,-0.222563870770501
"COL6A3",-0.531425683061012,-0.519028692432388,-0.434407523959087,-0.416049139512743,-0.622171792123047,-0.622171792123047,-0.449150070084239,-0.539401272415599
"COL6A6",-0.104969849189131,-0.104969849189131,-0.104969849189131,-0.104969849189131,-0.104969849189131,-0.104969849189131,0.25152253496694,-0.104969849189131
"COL8A1",-0.136093803612605,-0.0625551199517438,-0.0473254054251907,-0.0482676930700026,-0.155540207944014,1.07943460275393,-0.26939025339492,1.45480258830798
"COLEC11",-0.288477917099401,-0.216346387229299,-0.179390668864574,-0.323231292871237,-0.335079578008511,-0.335079578008511,-0.335079578008511,-0.335079578008511
"CORO1A",-0.0399741998416089,-0.137330777913862,-0.233312027704698,-0.232213092566373,-0.215949420355473,-0.279601770981846,-0.256572079363619,-0.279601770981846
"CORO2A",-0.221268059617612,0.0320117647066213,-0.221268059617612,-0.153922519789713,-0.221268059617612,-0.221268059617612,0.552053866183498,-0.221268059617612
"COTL1",-0.468174665216301,-0.427302315181161,-0.572674725840766,-0.632760407089576,-0.705177808637027,-0.114263758568311,-0.290158991564552,-0.707172692310133
"COX4I2",-0.12501816874479,-0.00502482304014114,-0.12501816874479,-0.12501816874479,-0.12501816874479,-0.12501816874479,-0.12501816874479,-0.12501816874479
"COX6A2",-0.181343583213343,-0.181343583213343,-0.181343583213343,-0.160742652570832,-0.181343583213343,-0.181343583213343,-0.0405224719030435,-0.181343583213343
"COX7A1",-1.12723150862657,-0.823590907139646,-0.508980397853658,-0.656172792628109,-0.845474369914487,-1.2290129275284,0.00772591934572221,-0.618232626039844
"CP",-0.0824315902327298,-0.0824315902327298,-0.0824315902327298,-0.0824315902327298,0.734374012089774,-0.0824315902327298,-0.0824315902327298,-0.0824315902327298
"CPA5",-0.134512207569591,-0.0306476246447917,-0.134512207569591,-0.134512207569591,-0.134512207569591,-0.134512207569591,1.41125755224155,-0.134512207569591
"CPED1",-0.518948721722625,-0.556376411832538,-0.423611267646055,-0.517946024938376,-0.616863793778384,-0.616863793778384,-0.564932580277963,-0.616863793778384
"CPLX3",-0.174132564841813,-0.167000452626838,-0.174132564841813,-0.174132564841813,-0.174132564841813,-0.174132564841813,0.125259860927815,-0.174132564841813
"CPVL",-0.0284476806933566,-0.27437874622436,-0.182567110005733,-0.298617126222674,-0.35613071791477,-0.0284719904181938,-0.32288981405533,-0.285797319176339
"CPZ",-0.0393573779366546,-0.0808338701498574,-0.0387474350154468,-0.228497116717076,-0.380185640842459,-0.380185640842459,-0.380185640842459,-0.380185640842459
"CR1L",-0.107315609050769,-0.118141096603191,-0.126250911473439,-0.0702463198858916,-0.126250911473439,-0.126250911473439,-0.126250911473439,-0.126250911473439
"CRABP1",1.00328896085439,0.96947844305818,0.354488879020123,0.0837118540596741,-0.174008929527626,0.647143036934404,-0.0572417380386144,0.418647553598521
"CRELD2",0.103134435036796,-0.368522748648117,0.130359450738269,-0.0164495329154824,0.206161011715784,-0.14920943019811,0.244509083027305,-0.687501200988592
"CRH",-0.080346387149899,-0.061978246060807,-0.080346387149899,-0.080346387149899,-0.080346387149899,-0.080346387149899,-0.080346387149899,-0.080346387149899
