"UNIPROT","SYMBOL","ENSEMBL","ENTREZID","GENETYPE"
"Q96L96","ALPK3","ENSG00000136383","57538","protein-coding"
"O43823","AKAP8","ENSG00000105127","10270","protein-coding"
"Q9ULL5","PRR12","ENSG00000126464","57479","protein-coding"
"Q9BRQ0","PYGO2","ENSG00000163348","90780","protein-coding"
"Q9BW71","HIRIP3","ENSG00000149929","8479","protein-coding"
"P62917","RPL8","ENSG00000161016","6132","protein-coding"
"Q9H7E2","TDRD3","ENSG00000083544","81550","protein-coding"
"Q9NQV8","PRDM8","ENSG00000152784","56978","protein-coding"
"Q96JN8","NEURL4","ENSG00000215041","84461","protein-coding"
"Q96JN8","NEURL4","ENSG00000288301","84461","protein-coding"
"O00512","BCL9","ENSG00000116128","607","protein-coding"
"Q8NDT2","RBM15B","ENSG00000259956","29890","protein-coding"
"Q66PJ3","ARL6IP4","ENSG00000182196","51329","protein-coding"
"Q5KU26","COLEC12","ENSG00000158270","81035","protein-coding"
"P23327","HRC","ENSG00000130528","3270","protein-coding"
"P40425","PBX2","ENSG00000204304","5089","protein-coding"
"P40425","PBX2","ENSG00000236353","5089","protein-coding"
"P40425","PBX2","ENSG00000225987","5089","protein-coding"
"P40425","PBX2","ENSG00000224952","5089","protein-coding"
"P40425","PBX2","ENSG00000232005","5089","protein-coding"
"P40425","PBX2","ENSG00000206315","5089","protein-coding"
"P40425","PBX2","ENSG00000237344","5089","protein-coding"
"P81877","SSBP2","ENSG00000145687","23635","protein-coding"
"P30414","NKTR","ENSG00000114857","4820","protein-coding"
"P10636","MAPT","ENSG00000186868","4137","protein-coding"
"P10636","MAPT","ENSG00000276155","4137","protein-coding"
"P10636","MAPT","ENSG00000277956","4137","protein-coding"
"Q9Y2S6","TMA7","ENSG00000232112","51372","protein-coding"
"P21291","CSRP1","ENSG00000159176","1465","protein-coding"
"Q05707","COL14A1","ENSG00000187955","7373","protein-coding"
"Q9NRM1","ENAM","ENSG00000132464","10117","protein-coding"
"Q5T8A7","PPP1R26","ENSG00000196422","9858","protein-coding"
"O95218","ZRANB2","ENSG00000132485","9406","protein-coding"
"Q86WI1","PKHD1L1","ENSG00000205038","93035","protein-coding"
"B7ZW38","HNRNPCL4","ENSG00000179412","101060301","protein-coding"
"B7ZW38","HNRNPCL4","ENSG00000273865","101060301","protein-coding"
"B7ZW38","HNRNPCL4","ENSG00000282095","101060301","protein-coding"
"B7ZW38","HNRNPCL4","ENSG00000283231","101060301","protein-coding"
"P0DMR1","HNRNPCL4","ENSG00000179412","101060301","protein-coding"
"P0DMR1","HNRNPCL4","ENSG00000273865","101060301","protein-coding"
"P0DMR1","HNRNPCL4","ENSG00000282095","101060301","protein-coding"
"P0DMR1","HNRNPCL4","ENSG00000283231","101060301","protein-coding"
"A7E2U8","C4orf47","ENSG00000205129","441054","protein-coding"
"P46776","RPL27A","ENSG00000166441","6157","protein-coding"
"Q9H4Q3","PRDM13","ENSG00000112238","59336","protein-coding"
"O15234","CASC3","ENSG00000108349","22794","protein-coding"
"Q6UB99","ANKRD11","ENSG00000167522","29123","protein-coding"
"P20929","NEB","ENSG00000183091","4703","protein-coding"
